236.669  115.513: opening buffers
316.453  049.122: BufEnter autocommands
032.876  000.062  000.062: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/ftplugin.vim
080.287  000.059  000.059: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern.vim
104.294  000.058  000.058: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/plugin/spellfile.vim
029.310  000.057  000.057: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/glsl.vim
028.442  000.055  000.055: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/elixir.vim
105.113  000.055  000.055: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/plugin/tutor.vim
031.098  000.054  000.054: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/query.vim
030.958  000.050  000.050: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/ql.vim
011.808  000.049: init default mappings
000.047  000.047: --- NVIM STARTING ---
029.814  000.046  000.046: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/hcl.vim
030.431  000.046  000.046: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/ledger.vim
031.471  000.045  000.045: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/teal.vim
029.684  000.043  000.043: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/graphql.vim
031.744  000.043  000.043: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/yang.vim
031.876  000.043  000.043: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/zig.vim
031.603  000.042  000.042: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/tlaplus.vim
031.272  000.041  000.041: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/surface.vim
099.683  000.041  000.041: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/plugin/health.vim
030.558  000.039  000.039: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/nix.vim
030.684  000.037  000.037: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/ftdetect/prisma.vim
